%HTA02.xlt		3 mS Echo Tracking			
%c-PRE	c-DIAM	c-ECG	f-PRE	f-DIAM	f-ECG
129.0284424	6.698999882	-0.05006	126.8503113	8.366999626	-0.035409998
129.0284424	6.698999882	-0.054949999	126.7048035	8.366999626	-0.03297
129.1419373	6.698999882	-0.052499998	126.559288	8.366999626	-0.03297
129.0284424	6.699999809	-0.047619998	126.3846741	8.366999626	-0.035409998
129.1419373	6.699999809	-0.042739999	126.3119202	8.366999626	-0.040290002
129.1419373	6.698999882	-0.03785	126.180954	8.366999626	-0.042739999
129.1419373	6.698999882	-0.03785	126.1082001	8.366000175	-0.040290002
129.1419373	6.699999809	-0.040290002	125.9626846	8.366000175	-0.03785
129.1419373	6.699999809	-0.042739999	125.8171768	8.364999771	-0.03297
129.1419373	6.701000214	-0.047619998	125.7153168	8.36400032	-0.03053
129.1419373	6.699999809	-0.04518	125.5989075	8.364999771	-0.02808
129.1419373	6.699999809	-0.04518	125.4679413	8.36400032	-0.03053
129.0284424	6.699999809	-0.03785	125.3951874	8.36400032	-0.03297
129.1419373	6.698999882	-0.03297	125.3224335	8.362999916	-0.035409998
129.1419373	6.698999882	-0.02808	125.2205734	8.362999916	-0.035409998
129.0284424	6.697999954	-0.02808	125.1041641	8.362999916	-0.03297
129.1419373	6.697000027	-0.03053	125.0023041	8.362000465	-0.02808
129.2175903	6.697000027	-0.03297	124.9004517	8.361000061	-0.02564
129.1419373	6.696000099	-0.03297	124.7840424	8.361000061	-0.02564
129.1419373	6.696000099	-0.03053	124.7112808	8.359999657	-0.02564
129.1419373	6.695000172	-0.02564	124.6530762	8.359999657	-0.02564
129.1419373	6.693999767	-0.0232	124.5075684	8.359000206	-0.02564
129.1419373	6.69299984	-0.02076	124.3911591	8.359000206	-0.02564
129.1419373	6.69299984	-0.02808	124.3329468	8.357999802	-0.0232
129.1419373	6.690999985	-0.03297	124.2165375	8.357999802	-0.02076
129.1419373	6.690999985	-0.035409998	124.1146851	8.357000351	-0.01832
129.1419373	6.690000057	-0.035409998	124.0419235	8.355999947	-0.02076
129.1419373	6.690000057	-0.03053	123.8964157	8.355999947	-0.0232
