%HTA03.xlt		3 mS Echo Tracking			
%c-PRE	c-DIAM	c-ECG	f-PRE	f-DIAM	f-ECG
107.2463226	5.620999813	-0.057390001	115.3054123	8.751999855	-0.098899998
107.2463226	5.620999813	-0.059829999	115.2646637	8.751999855	-0.098899998
107.2463226	5.620999813	-0.064709999	115.3054123	8.751999855	-0.098899998
107.2463226	5.618999958	-0.064709999	115.4072723	8.753000259	-0.09646
107.2463226	5.618999958	-0.064709999	115.4072723	8.75399971	-0.098899998
107.1547775	5.618000031	-0.062270001	115.4072723	8.755000114	-0.098899998
107.0174561	5.616000175	-0.059829999	115.4072723	8.75399971	-0.09646
107.0174561	5.614999771	-0.054949999	115.4072723	8.755000114	-0.09646
107.0174561	5.612999916	-0.042739999	115.4072723	8.755000114	-0.09646
106.9259033	5.611999989	-0.02808	115.3665237	8.75399971	-0.098899998
106.8343582	5.611000061	-0.008547	115.3665237	8.75399971	-0.098899998
106.6054916	5.609000206	0.02564	115.2646637	8.75399971	-0.09646
106.4681702	5.607999802	0.074479997	115.2646637	8.753000259	-0.09646
106.3766174	5.606999874	0.142900005	115.1628113	8.751999855	-0.098899998
106.1477509	5.605000019	0.228300005	115.1628113	8.753000259	-0.09646
106.0104294	5.605000019	0.338200003	115.1628113	8.751999855	-0.094020002
105.9188843	5.603000164	0.460299999	115.1628113	8.751000404	-0.094020002
105.8273315	5.602000237	0.587300003	115.1220703	8.751000404	-0.09646
105.598465	5.600999832	0.707000017	115.0609589	8.75	-0.098899998
105.4611435	5.598999977	0.811999977	115.0609589	8.75	-0.09646
105.2322769	5.598999977	0.9023	115.0202179	8.748999596	-0.094020002
105.0034027	5.597000122	0.965799987	115.0202179	8.748000145	-0.09646
104.8203049	5.596000195	0.995100021	114.9590988	8.748000145	-0.09646
104.5914383	5.59499979	0.977999985	114.9183578	8.746999741	-0.09646
104.4541168	5.593999863	0.926699996	114.8164978	8.74600029	-0.094020002
104.2252426	5.592999935	0.838800013	114.7553864	8.74600029	-0.09646
104.1336975	5.592000008	0.726499975	114.612793	8.744999886	-0.098899998
103.9048309	5.59100008	0.5995	114.5109329	8.744000435	-0.09646
103.8132858	5.590000153	0.470099986	114.470192	8.743000031	-0.094020002
103.5844116	5.589000225	0.34799999	114.4090729	8.743000031	-0.094020002
103.4470901	5.589000225	0.233199999	114.3275909	8.741999626	-0.094020002
103.355545	5.590000153	0.133100003	114.2257309	8.741000175	-0.094020002
103.2182236	5.590000153	0.047619998	114.1646194	8.739999771	-0.091580003
103.1266785	5.592000008	-0.02564	114.1646194	8.737999916	-0.091580003
103.1266785	5.593999863	-0.084250003	114.1646194	8.737999916	-0.091580003
102.8978043	5.596000195	-0.133100003	114.1238785	8.737000465	-0.094020002
102.8978043	5.59800005	-0.169699997	114.1238785	8.736000061	-0.089129999
102.8062592	5.599999905	-0.196600005	114.1238785	8.734999657	-0.089129999
102.6689377	5.604000092	-0.213699996	114.1238785	8.734000206	-0.086690001
102.6689377	5.607999802	-0.228300005	114.062767	8.732999802	-0.089129999
102.6689377	5.611999989	-0.228300005	114.0220184	8.732000351	-0.086690001
102.8062592	5.616000175	-0.228300005	114.062767	8.729999542	-0.086690001
